epoch,w0,w1,w2,misclassified_points
0,0.17626160215454845,0.7954274558188359,0.783061458949416,16
1,-9.823738397845451,3.8112359635656183,-3.7360521184553717,46
2,0.17626160215454867,9.408746880718095,-0.8954191953696164,15
3,10.176261602154549,7.143453806728843,7.839180579365074,47
4,0.17626160215454867,10.159262314475626,3.320067001960286,4
5,10.176261602154549,6.911565742548185,12.17826108021067,37
6,0.17626160215454867,9.927374250294967,7.659147502805881,9
7,-9.823738397845451,12.94318275804175,3.1400339254010934,36
8,0.17626160215454867,18.540693675194227,5.980666848486848,4
9,10.176261602154549,15.292997103266785,14.838860926737231,24
10,0.17626160215454867,18.308805611013568,10.319747349332443,2
11,-9.823738397845451,22.73587632628134,2.1544296299993686,20
12,0.17626160215454867,25.397905471746697,-1.0649745490266178,13
13,10.176261602154549,23.132612397757445,7.669625225708073,24
14,0.17626160215454867,26.148420905504228,3.1505116483032847,8
15,10.176261602154549,23.883127831514976,11.885111423037975,21
16,0.17626160215454867,26.89893633926176,7.365997845633187,5
17,10.176261602154549,23.651239767334317,16.22419192388357,21
18,0.17626160215454867,26.6670482750811,11.705078346478782,2
19,-9.823738397845451,26.791136347793284,11.2504217588389,21
20,0.17626160215454867,29.45316549325864,8.031017579812914,5
21,10.176261602154549,26.2054689213312,16.889211658063296,20
22,0.17626160215454867,29.221277429077983,12.370098080658508,2
23,-9.823738397845451,29.34536550179017,11.915441493018626,18
24,0.17626160215454867,32.00739464725553,8.69603731399264,5
25,10.176261602154549,28.75969807532809,17.554231392243025,19
26,0.17626160215454867,31.775506583074872,13.035117814838237,2
27,-9.823738397845451,31.899594655787055,12.580461227198356,13
28,0.17626160215454867,34.561623801252416,9.36105704817237,5
29,10.176261602154549,31.313927229324975,18.219251126422755,16
30,0.17626160215454867,34.32973573707176,13.700137549017967,3
31,-9.823738397845451,34.45382380978394,13.245480961378085,11
32,0.17626160215454867,37.1158529552493,10.0260767823521,5
33,10.176261602154549,33.86815638332186,18.884270860602484,14
34,0.17626160215454867,36.88396489106864,14.365157283197696,3
35,-9.823738397845451,37.00805296378083,13.910500695557815,10
36,0.17626160215454867,39.67008210924619,10.691096516531829,5
37,10.176261602154549,36.422385537318746,19.549290594782214,12
38,0.17626160215454867,39.43819404506553,15.030177017377426,3
39,-9.823738397845451,39.56228211777771,14.575520429737544,10
40,0.17626160215454867,42.224311263243074,11.356116250711558,5
41,10.176261602154549,38.97661469131563,20.214310328961943,12
42,0.17626160215454867,41.992423199062415,15.695196751557155,3
43,-9.823738397845451,42.1165112717746,15.240540163917274,10
44,0.17626160215454867,44.77854041723996,12.021135984891288,5
45,10.176261602154549,41.53084384531252,20.879330063141673,11
46,0.17626160215454867,44.5466523530593,16.360216485736885,3
47,-9.823738397845451,44.670740425771484,15.905559898097003,10
48,0.17626160215454867,47.332769571236845,12.686155719071017,5
49,10.176261602154549,44.0850729993094,21.544349797321402,10
50,0.17626160215454867,47.10088150705619,17.025236219916614,4
51,10.176261602154549,43.853184935128745,25.883430298167,12
52,0.17626160215454867,46.86899344287553,21.36431672076221,1
53,-9.823738397845451,46.99308151558771,20.90966013312233,10
54,0.17626160215454867,49.65511066105307,17.690255954096344,4
55,10.176261602154549,46.40741408912563,26.54845003234673,12
56,0.17626160215454867,49.423222596872414,22.02933645494194,1
57,-9.823738397845451,49.5473106695846,21.57467986730206,10
58,0.17626160215454867,52.20933981504996,18.355275688276073,4
59,10.176261602154549,48.961643243122516,27.213469766526458,12
60,0.17626160215454867,51.9774517508693,22.69435618912167,2
61,-9.823738397845451,52.10153982358148,22.23969960148179,10
62,0.17626160215454867,54.763568969046844,19.020295422455803,4
63,10.176261602154549,51.5158723971194,27.878489500706188,10
64,0.17626160215454867,54.531680904866185,23.3593759233014,2
65,-9.823738397845451,54.65576897757837,22.904719335661518,10
66,0.17626160215454867,57.31779812304373,19.685315156635532,4
67,10.176261602154549,54.07010155111629,28.543509234885917,10
